epoch,btc_price,date,volume_binance_futures,volume_hitbtc_derivatives,volume_poloniex_futures,volume_perpetual_protocol,volume_huobi_dm,volume_bitfinex_futures,volume_bitrue_futures,volume_bitforex_futures,volume_kraken_futures,volume_bitget_futures,volume_okex_swap,volume_mxc_futures,volume_bybit,volume_bingx_futures,volume_kumex,volume_gate_futures,volume_bitmex,volume_deribit,volume_dydx_perpetual,volume_crypto_com_futures,sum
1593129600,9258.67,2020-06-26 00:00:00+00:00,2892.92699352,0.0,0.0,0.0,3813.6183969900003,5.2311485499999995,0.0,342.35784058999997,49.38574578,0.0,2251.76409602,0.0,843.23337025,0.0,108.45606038,24.68361422,1524.84739698,265.95529575,0.0,0.0,12122.459959030002
1593216000,9166.49,2020-06-27 00:00:00+00:00,2375.44088456,0.0,0.0,0.0,3307.4712547799995,2.5116182599999997,0.0,256.4783902,42.807508299999995,0.0,1860.64163967,0.0,728.47012679,0.0,100.97805384,20.26710939,1292.97008046,110.67620025999999,0.0,0.0,10098.71286651
1593302400,9013.91,2020-06-28 00:00:00+00:00,3298.28882201,0.0,0.0,0.0,4998.25816455,2.6591034500000004,0.0,394.97150838,58.51830372,0.0,2468.26094748,0.0,940.86291189,0.0,127.8172438,50.31564562,1655.80118354,206.82416494999998,0.0,0.0,14202.577999390001
1593388800,9139.9,2020-06-29 00:00:00+00:00,2162.5734592,0.0,0.0,0.0,3273.6288431,1.4532440999999998,0.0,230.508278,24.0562168,0.0,1622.1768717,0.0,634.9854126,0.0,83.84944259999999,28.4707885,1112.4720684,102.90613409999999,0.0,0.0,9277.0807591
1593475200,9185.17,2020-06-30 00:00:00+00:00,2282.23000473,0.0,0.0,0.0,3063.74100901,0.97362802,0.0,216.42097554,41.9762269,0.0,1760.92568138,0.0,696.62166314,0.0,84.11778686,21.18100202,1391.99414316,117.34973192,0.0,0.0,9677.53185268
1593561600,9149.72,2020-07-01 00:00:00+00:00,2010.0562381999998,0.0,0.0,0.0,2776.69297756,0.9424211599999999,0.0,185.50142328,38.55692008,0.0,1357.6354536,0.0,588.4276429199999,0.0,84.75385636,20.61431916,1197.62515024,108.03989375999998,0.0,0.0,8368.84629632
1593648000,9230.67,2020-07-02 00:00:00+00:00,2541.3511417199998,0.0,0.0,0.0,2929.9069646999997,1.23690978,0.0,187.50259971,44.40875337,0.0,1501.7377023,0.0,637.41468618,0.0,96.06358269,19.87363251,1335.3548755499999,126.0909522,0.0,0.0,9420.94180071
1593734400,9094.32,2020-07-03 00:00:00+00:00,3308.1771261599997,0.0,0.0,0.0,4292.91919008,2.70101304,0.0,271.3290372,51.32834208,0.0,2113.5654396,0.0,886.20510672,0.0,111.0871188,27.70129872,1761.2514827999998,190.38049488,0.0,0.0,13016.64565008
1593820800,9071.39,2020-07-04 00:00:00+00:00,1573.23302492,0.0,0.0,0.0,1963.80172137,0.5624261799999999,0.0,131.36279858999998,16.52807258,0.0,971.7363681899999,0.0,298.8569435499999,0.0,76.48996048,11.16688109,697.29053513,55.23569370999999,0.0,0.0,5796.26442579
1593907200,9132.91,2020-07-05 00:00:00+00:00,2414.51308125,0.0,0.0,0.0,2608.96186806,0.69410116,0.0,166.66647459,33.82829864,0.0,1398.60470449,0.0,537.08817128,0.0,84.33329094,18.03749725,1164.10810733,88.26957515000001,0.0,0.0,8515.10517014
